MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
26.0,4,116.0,75.00,2246,140,74,2
24.0,4,120.0,97.00,2489,150,74,3
26.0,4,108.0,93.00,2391,155,74,3
31.0,4,790.0,67.00,2000,160,74,2
19.0,6,225.0,95.00,3264,160,75,1
18.0,6,250.0,105.0,3459,160,75,1
15.0,6,250.0,72.00,3432,210,75,1
15.0,6,250.0,72.00,3158,195,75,1
16.0,8,400.0,170.0,4668,115,75,1
15.0,8,350.0,145.0,4440,140,75,1
16.0,8,318.0,150.0,4498,145,75,1
14.0,8,351.0,148.0,4657,135,75,1
17.0,6,231.0,110.0,3907,210,75,1
16.0,6,250.0,105.0,3897,185,75,1
15.0,6,258.0,110.0,3730,190,75,1
18.0,6,225.0,95.00,3785,190,75,1
21.0,6,231.0,110.0,3039,150,75,1
20.0,8,262.0,110.0,3221,135,75,1
13.0,8,302.0,129.0,3169,120,75,1
29.0,4,970.0,75.00,2171,160,75,3
23.0,4,140.0,83.00,2639,170,75,1
20.0,6,232.0,100.0,2914,160,75,1
23.0,4,140.0,78.00,2592,185,75,1
24.0,4,134.0,96.00,2702,135,75,3
25.0,4,900.0,71.00,2223,165,75,2
24.0,4,119.0,97.00,2545,170,75,3
18.0,6,171.0,97.00,2984,145,75,1
29.0,4,900.0,70.00,1937,140,75,2
19.0,6,232.0,90.00,3211,170,75,1
23.0,4,115.0,95.00,2694,150,75,2
23.0,4,120.0,88.00,2957,170,75,2
22.0,4,121.0,98.00,2945,145,75,2
25.0,4,121.0,115.0,2671,135,75,2
33.0,4,910.0,53.00,1795,175,75,3
28.0,4,107.0,86.00,2464,155,76,2
25.0,4,116.0,81.00,2220,169,76,2
25.0,4,140.0,92.00,2572,149,76,1
26.0,4,980.0,79.00,2255,177,76,1
27.0,4,101.0,83.00,2202,153,76,2
17.5,8,305.0,140.0,4215,130,76,1
16.0,8,318.0,150.0,4190,130,76,1
15.5,8,304.0,120.0,3962,139,76,1
14.5,8,351.0,152.0,4215,128,76,1
22.0,6,225.0,100.0,3233,154,76,1
22.0,6,250.0,105.0,3353,145,76,1
24.0,6,200.0,81.00,3012,176,76,1
22.5,6,232.0,90.00,3085,176,76,1
29.0,4,850.0,52.00,2035,222,76,1
24.5,4,980.0,60.00,2164,221,76,1
29.0,4,900.0,70.00,1937,142,76,2
33.0,4,910.0,53.00,1795,174,76,3
20.0,6,225.0,100.0,3651,177,76,1
18.0,6,250.0,78.00,3574,210,76,1
18.5,6,250.0,110.0,3645,162,76,1
17.5,6,258.0,95.00,3193,178,76,1
29.5,4,970.0,71.00,1825,122,76,2
32.0,4,850.0,70.00,1990,170,76,3
28.0,4,970.0,75.00,2155,164,76,3
26.5,4,140.0,72.00,2565,136,76,1
20.0,4,130.0,102.0,3150,157,76,2
13.0,8,318.0,150.0,3940,132,76,1
19.0,4,120.0,88.00,3270,219,76,2
19.0,6,156.0,108.0,2930,155,76,3
16.5,6,168.0,120.0,3820,167,76,2
16.5,8,350.0,180.0,4380,121,76,1
13.0,8,350.0,145.0,4055,120,76,1
13.0,8,302.0,130.0,3870,150,76,1
13.0,8,318.0,150.0,3755,140,76,1
31.5,4,980.0,68.00,2045,185,77,3
30.0,4,111.0,80.00,2155,148,77,1
36.0,4,790.0,58.00,1825,186,77,2
25.5,4,122.0,96.00,2300,155,77,1
33.5,4,850.0,70.00,1945,168,77,3
17.5,8,305.0,145.0,3880,125,77,1
17.0,8,260.0,110.0,4060,190,77,1
15.5,8,318.0,145.0,4140,137,77,1
15.0,8,302.0,130.0,4295,149,77,1
17.5,6,250.0,110.0,3520,164,77,1
20.5,6,231.0,105.0,3425,169,77,1
19.0,6,225.0,100.0,3630,177,77,1
18.5,6,250.0,98.00,3525,190,77,1
16.0,8,400.0,180.0,4220,111,77,1
15.5,8,350.0,170.0,4165,114,77,1
15.5,8,400.0,190.0,4325,122,77,1
16.0,8,351.0,149.0,4335,145,77,1
29.0,4,970.0,78.00,1940,145,77,2
24.5,4,151.0,88.00,2740,160,77,1
26.0,4,970.0,75.00,2265,182,77,3
25.5,4,140.0,89.00,2755,158,77,1
30.5,4,980.0,63.00,2051,170,77,1
33.5,4,980.0,83.00,2075,159,77,1
30.0,4,970.0,67.00,1985,164,77,3
30.5,4,970.0,78.00,2190,141,77,2
22.0,6,146.0,97.00,2815,145,77,3
21.5,4,121.0,110.0,2600,128,77,2
21.5,3,800.0,110.0,2720,135,77,3
43.1,4,900.0,48.00,1985,215,78,2
36.1,4,980.0,66.00,1800,144,78,1
32.8,4,780.0,52.00,1985,194,78,3
39.4,4,850.0,70.00,2070,186,78,3
36.1,4,910.0,60.00,1800,164,78,3
19.9,8,260.0,110.0,3365,155,78,1
19.4,8,318.0,140.0,3735,132,78,1
20.2,8,302.0,139.0,3570,128,78,1
19.2,6,231.0,105.0,3535,192,78,1
20.5,6,200.0,95.00,3155,182,78,1
20.2,6,200.0,85.00,2965,158,78,1
25.1,4,140.0,88.00,2720,154,78,1
20.5,6,225.0,100.0,3430,172,78,1
19.4,6,232.0,90.00,3210,172,78,1
20.6,6,231.0,105.0,3380,158,78,1
20.8,6,200.0,85.00,3070,167,78,1
18.6,6,225.0,110.0,3620,187,78,1
18.1,6,258.0,120.0,3410,151,78,1
19.2,8,305.0,145.0,3425,132,78,1
17.7,6,231.0,165.0,3445,134,78,1
18.1,8,302.0,139.0,3205,112,78,1
17.5,8,318.0,140.0,4080,137,78,1
30.0,4,980.0,68.00,2155,165,78,1
27.5,4,134.0,95.00,2560,142,78,3
27.2,4,119.0,97.00,2300,147,78,3
30.9,4,105.0,75.00,2230,145,78,1
21.1,4,134.0,95.00,2515,148,78,3
23.2,4,156.0,105.0,2745,167,78,1
23.8,4,151.0,85.00,2855,176,78,1
23.9,4,119.0,97.00,2405,149,78,3
20.3,5,131.0,103.0,2830,159,78,2
17.0,6,163.0,125.0,3140,136,78,2
21.6,4,121.0,115.0,2795,157,78,2
16.2,6,163.0,133.0,3410,158,78,2
31.5,4,890.0,71.00,1990,149,78,2
29.5,4,980.0,68.00,2135,166,78,3
21.5,6,231.0,115.0,3245,154,79,1
19.8,6,200.0,85.00,2990,182,79,1
22.3,4,140.0,88.00,2890,173,79,1
20.2,6,232.0,90.00,3265,182,79,1
20.6,6,225.0,110.0,3360,166,79,1
17.0,8,305.0,130.0,3840,154,79,1
17.6,8,302.0,129.0,3725,134,79,1
16.5,8,351.0,138.0,3955,132,79,1
18.2,8,318.0,135.0,3830,152,79,1
16.9,8,350.0,155.0,4360,149,79,1
15.5,8,351.0,142.0,4054,143,79,1
19.2,8,267.0,125.0,3605,150,79,1
18.5,8,360.0,150.0,3940,130,79,1
31.9,4,890.0,71.00,1925,140,79,2
34.1,4,860.0,65.00,1975,152,79,3
35.7,4,980.0,80.00,1915,144,79,1
27.4,4,121.0,80.00,2670,150,79,1
25.4,5,183.0,77.00,3530,201,79,2
23.0,8,350.0,125.0,3900,174,79,1
27.2,4,141.0,71.00,3190,248,79,2
23.9,8,260.0,90.00,3420,222,79,1
34.2,4,105.0,70.00,2200,132,79,1
34.5,4,105.0,70.00,2150,149,79,1
31.8,4,850.0,65.00,2020,192,79,3
37.3,4,910.0,69.00,2130,147,79,2
28.4,4,151.0,90.00,2670,160,79,1
28.8,6,173.0,115.0,2595,113,79,1
26.8,6,173.0,115.0,2700,129,79,1
33.5,4,151.0,90.00,2556,132,79,1
41.5,4,980.0,76.00,2144,147,80,2
38.1,4,890.0,60.00,1968,188,80,3
32.1,4,980.0,70.00,2120,155,80,1
37.2,4,860.0,65.00,2019,164,80,3
28.0,4,151.0,90.00,2678,165,80,1
26.4,4,140.0,88.00,2870,181,80,1
24.3,4,151.0,90.00,3003,201,80,1
19.1,6,225.0,90.00,3381,187,80,1
34.3,4,970.0,78.00,2188,158,80,2
29.8,4,134.0,90.00,2711,155,80,3
31.3,4,120.0,75.00,2542,175,80,3
37.0,4,119.0,92.00,2434,150,80,3
32.2,4,108.0,75.00,2265,152,80,3
46.6,4,860.0,65.00,2110,179,80,3
27.9,4,156.0,105.0,2800,144,80,1
40.8,4,850.0,65.00,2110,192,80,3
44.3,4,900.0,48.00,2085,217,80,2
43.4,4,900.0,48.00,2335,237,80,2
36.4,5,121.0,67.00,2950,199,80,2
30.0,4,146.0,67.00,3250,218,80,2
44.6,4,910.0,67.00,1850,138,80,3
33.8,4,970.0,67.00,2145,180,80,3
29.8,4,890.0,62.00,1845,153,80,2
32.7,6,168.0,132.0,2910,114,80,3
23.7,3,700.0,100.0,2420,125,80,3
35.0,4,122.0,88.00,2500,151,80,2
32.4,4,107.0,72.00,2290,170,80,3
27.2,4,135.0,84.00,2490,157,81,1
26.6,4,151.0,84.00,2635,164,81,1
25.8,4,156.0,92.00,2620,144,81,1
23.5,6,173.0,110.0,2725,126,81,1
30.0,4,135.0,84.00,2385,129,81,1
39.1,4,790.0,58.00,1755,169,81,3
39.0,4,860.0,64.00,1875,164,81,1
35.1,4,810.0,60.00,1760,161,81,3
32.3,4,970.0,67.00,2065,178,81,3
37.0,4,850.0,65.00,1975,194,81,3
37.7,4,890.0,62.00,2050,173,81,3
34.1,4,910.0,68.00,1985,160,81,3
34.7,4,105.0,63.00,2215,149,81,1
34.4,4,980.0,65.00,2045,162,81,1
29.9,4,980.0,65.00,2380,207,81,1
33.0,4,105.0,74.00,2190,142,81,2
33.7,4,107.0,75.00,2210,144,81,3
32.4,4,108.0,75.00,2350,168,81,3
32.9,4,119.0,100.0,2615,148,81,3
31.6,4,120.0,74.00,2635,183,81,3
28.1,4,141.0,80.00,3230,204,81,2
30.7,6,145.0,76.00,3160,196,81,2
25.4,6,168.0,116.0,2900,126,81,3
24.2,6,146.0,120.0,2930,138,81,3
22.4,6,231.0,110.0,3415,158,81,1
26.6,8,350.0,105.0,3725,190,81,1
20.2,6,200.0,88.00,3060,171,81,1
17.6,6,225.0,85.00,3465,166,81,1
28.0,4,112.0,88.00,2605,196,82,1
27.0,4,112.0,88.00,2640,186,82,1
34.0,4,112.0,88.00,2395,180,82,1
31.0,4,112.0,85.00,2575,162,82,1
29.0,4,135.0,84.00,2525,160,82,1
27.0,4,151.0,90.00,2735,180,82,1
24.0,4,140.0,92.00,2865,164,82,1
36.0,4,105.0,74.00,1980,153,82,2
37.0,4,910.0,68.00,2025,182,82,3
31.0,4,910.0,68.00,1970,176,82,3
38.0,4,105.0,63.00,2125,147,82,1
36.0,4,980.0,70.00,2125,173,82,1
36.0,4,120.0,88.00,2160,145,82,3
36.0,4,107.0,75.00,2205,145,82,3
34.0,4,108.0,70.00,2245,169,82,3
38.0,4,910.0,67.00,1965,150,82,3
32.0,4,910.0,67.00,1965,157,82,3
38.0,4,910.0,67.00,1995,162,82,3
25.0,6,181.0,110.0,2945,164,82,1
38.0,6,262.0,85.00,3015,170,82,1
26.0,4,156.0,92.00,2585,145,82,1
22.0,6,232.0,112.0,2835,147,82,1
32.0,4,144.0,96.00,2665,139,82,3
36.0,4,135.0,84.00,2370,130,82,1
27.0,4,151.0,90.00,2950,173,82,1
27.0,4,140.0,86.00,2790,156,82,1
44.0,4,970.0,52.00,2130,246,82,2
32.0,4,135.0,84.00,2295,116,82,1
28.0,4,120.0,79.00,2625,186,82,1
31.0,4,119.0,82.00,2720,194,82,1
